,City,Latitude,Longityde,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Country
373,Umluj,25.02,37.27,1604782279,72.05,66,23,6.15,SA
374,Biarritz,43.48,-1.56,1604782279,63.0,67,0,5.82,FR
375,Dekar,-21.53,21.93,1604782279,84.92,14,0,3.71,BW
376,Longyearbyen,78.22,15.64,1604782279,28.4,86,20,2.24,SJ
377,Altagracia de Orituco,9.86,-66.38,1604782280,81.25,84,73,2.62,VE
378,Peleduy,59.63,112.74,1604782280,3.16,91,100,3.18,RU
379,Panabá,21.28,-88.27,1604782232,81.18,81,19,10.45,MX
380,Ascension,30.22,-90.9,1604782280,73.4,78,75,3.36,US
381,Svobodnyy,51.4,128.13,1604782280,20.97,97,100,10.63,RU
382,Orsha,54.52,30.41,1604782280,48.72,91,66,11.88,BY
383,Bengkulu,-3.8,102.27,1604781544,75.83,85,84,3.74,ID
384,Saint-Joseph,-21.37,55.62,1604782281,71.6,78,0,6.93,RE
385,Alice Springs,-23.7,133.88,1604782281,60.8,23,0,4.7,AU
386,Villa Rica,33.73,-84.92,1604782274,70.0,73,90,8.05,US
387,Limbang,4.75,115.0,1604782281,78.01,100,75,2.24,MY
388,Torbay,47.67,-52.73,1604782168,46.99,87,75,33.33,CA
389,Benguela,-12.58,13.41,1604782281,76.96,72,80,3.4,AO
390,Quatre Cocos,-20.21,57.76,1604782281,73.4,78,40,6.93,MU
391,Duluth,46.78,-92.11,1604782281,53.6,87,90,8.05,US
392,Beauceville,46.22,-70.78,1604782282,62.6,55,100,3.36,CA
393,Constantine,36.37,6.61,1604782282,62.6,45,0,5.82,DZ
394,Zyryanka,65.75,150.85,1604782282,-3.82,92,99,6.31,RU
395,Gif-sur-Yvette,48.68,2.13,1604782282,57.2,82,0,6.93,FR
396,Kysyl-Syr,63.9,122.76,1604781762,-10.28,89,81,4.38,RU
397,Richards Bay,-28.78,32.04,1604782282,71.56,92,2,7.81,ZA
398,Laas,46.62,10.7,1604782282,46.99,80,5,1.72,IT
399,Nome,64.5,-165.41,1604781722,37.4,86,1,11.41,US
400,Hobyo,5.35,48.53,1604782209,79.41,78,52,10.63,SO
401,Khanu Woralaksaburi,16.06,99.86,1604782283,74.07,91,79,2.37,TH
402,Allada,6.67,2.15,1604782283,82.4,78,20,6.93,BJ
403,Balsas,-7.53,-46.04,1604782283,85.08,56,59,6.15,BR
404,Guánica,17.97,-66.91,1604782283,84.99,66,100,3.0,PR
405,Slave Lake,55.28,-114.77,1604782283,23.0,62,1,13.87,CA
406,Mayo,38.89,-76.51,1604782171,69.8,55,1,6.93,US
407,Zvishavane,-20.33,30.07,1604782283,81.95,35,41,4.05,ZW
408,Salalah,17.02,54.09,1604782169,75.2,69,0,2.24,OM
409,Tutóia,-2.76,-42.27,1604781893,81.86,76,97,14.41,BR
410,Wuwei,37.93,102.64,1604782122,37.47,58,0,1.63,CN
411,Hvolsvollur,63.75,-20.22,1604782284,37.99,94,100,4.0,IS
412,Rørvik,64.86,11.24,1604782284,45.25,61,67,15.17,NO
413,Lompoc,34.64,-120.46,1604782203,57.2,71,75,18.34,US
414,Hammerfest,70.66,23.68,1604782284,37.4,90,100,51.67,NO
415,Verkh-Usugli,52.7,115.17,1604782285,10.08,83,88,2.55,RU
416,Collie,-33.37,116.15,1604782285,55.0,66,30,1.52,AU
417,Honningsvåg,70.98,25.97,1604782204,40.5,74,98,33.06,NO
418,Plouzané,48.38,-4.62,1604782034,57.2,100,90,9.17,FR
419,Birin,26.89,88.07,1604782285,51.33,63,0,5.32,NP
420,Salinópolis,-0.61,-47.36,1604782285,82.81,75,25,15.61,BR
421,Kikwit,-5.04,18.82,1604782285,71.28,95,100,1.45,CD
422,Chulym,55.1,80.96,1604782154,37.56,77,68,13.89,RU
423,Tambovka,50.1,128.05,1604782286,24.8,92,75,8.95,RU
424,Youkounkoun,12.53,-13.13,1604782286,85.08,33,0,2.15,GN
425,Kiryat Gat,31.61,34.76,1604782286,66.99,80,59,5.95,IL
426,Altay,47.87,88.12,1604782286,34.43,79,20,3.56,CN
427,Port Augusta,-32.5,137.77,1604782196,54.0,93,0,3.36,AU
428,Kranjska Gora,46.48,13.79,1604782286,46.99,66,0,4.0,SI
429,Birjand,32.87,59.22,1604782187,57.2,15,0,9.17,IR
430,Coromandel,-18.47,-47.2,1604782286,77.79,53,10,1.92,BR
431,Hilton Head,32.22,-80.75,1604782130,75.99,78,75,12.75,US
432,Bulgan,48.81,103.53,1604782287,27.28,86,0,2.95,MN
433,Lodwar,3.12,35.6,1604782287,83.7,51,58,12.75,KE
434,Nacozari,25.34,-108.26,1604782287,89.01,62,0,7.0,MX
435,Comodoro Rivadavia,-45.87,-67.5,1604782168,66.2,48,0,14.99,AR
436,Vadsø,70.07,29.75,1604782287,33.8,80,12,38.03,NO
437,Porto-Novo,6.5,2.6,1604782179,82.4,78,20,6.93,BJ
438,Nangomba,-10.9,38.5,1604782288,77.45,69,49,7.11,TZ
439,Los Llanos de Aridane,28.66,-17.92,1604782166,68.0,64,20,8.05,ES
440,Ørnes,66.87,13.71,1604782288,39.2,75,40,16.11,NO
441,Maykor,59.01,55.88,1604782288,32.97,95,87,6.93,RU
442,Makkah al Mukarramah,21.43,39.83,1604782133,77.5,64,6,3.4,SA
443,Shahrud,36.42,54.98,1604782289,52.93,41,92,1.1,IR
444,Lokosovo,61.13,74.82,1604782289,34.56,98,100,7.0,RU
445,Cockburn Town,21.46,-71.14,1604782191,75.2,88,90,11.41,TC
446,Amahai,-3.33,128.92,1604782289,79.0,92,100,2.82,ID
447,Qujing,25.48,103.78,1604782289,50.07,88,88,3.4,CN
448,Santa Cruz de Barahona,18.21,-71.1,1604782290,80.6,83,75,9.17,DO
449,Hancheng,32.52,112.35,1604782290,55.26,40,0,3.06,CN
450,Lodja,-3.48,23.43,1604782290,69.89,89,74,0.87,CD
451,Tornio,65.85,24.15,1604782290,37.4,59,0,12.75,FI
452,Leningradskiy,69.38,178.42,1604782185,19.65,96,100,11.39,RU
453,Pervomayskiy,53.25,40.29,1604782290,37.99,79,0,8.25,RU
454,Seguin,29.57,-97.96,1604782170,84.0,39,1,3.36,US
455,Show Low,34.25,-110.03,1604782291,50.0,87,75,28.86,US
456,Mouila,-1.87,11.06,1604782291,74.71,93,100,0.43,GA
457,Grajaú,-5.82,-46.14,1604782204,79.84,78,63,3.02,BR
458,Tecozautla,20.53,-99.63,1604782291,75.2,22,20,7.14,MX
459,Port Pirie,-33.18,138.02,1604782291,50.0,93,0,3.36,AU
460,Tarko-Sale,64.92,77.78,1604782291,32.0,94,100,2.15,RU
461,Kieta,-6.22,155.63,1604782291,81.45,74,3,1.07,PG
462,Asău,46.43,26.4,1604782177,42.01,97,0,3.24,RO
463,San Miguel de Tucumán,-26.82,-65.22,1604781909,93.2,21,0,10.29,AR
464,Cap-aux-Meules,47.38,-61.86,1604782292,39.2,73,48,27.51,CA
465,Raudeberg,61.99,5.14,1604782169,45.0,96,83,3.74,NO
466,Muzhi,65.37,64.67,1604782292,28.62,99,99,0.89,RU
467,Deputatsky,69.3,139.9,1604782292,-6.23,92,96,3.4,RU
468,Ovsyanka,55.96,92.55,1604782293,42.8,75,40,8.95,RU
469,Dunedin,-45.87,170.5,1604782170,51.01,60,93,18.99,NZ
470,Beyneu,45.32,55.2,1604782293,41.65,72,47,12.26,KZ
471,San Juan,-31.54,-68.54,1604781779,89.73,19,8,17.6,AR
472,Freeport,40.66,-73.58,1604782191,73.99,38,1,8.05,US
473,Rāvar,31.27,56.81,1604782293,59.77,27,98,6.85,IR
474,Lakes Entrance,-37.88,147.98,1604782293,54.0,77,0,5.86,AU
475,Natal,-5.79,-35.21,1604782293,82.4,74,40,19.46,BR
476,Yarmouth,41.71,-70.23,1604782294,71.6,49,1,8.05,US
477,Sosnovo-Ozerskoye,52.52,111.54,1604782294,7.18,93,39,7.16,RU
478,São João da Barra,-21.64,-41.05,1604782294,77.0,65,75,11.41,BR
479,San Matías,-16.37,-58.4,1604782294,100.4,24,77,6.78,BO
480,Timucuy,20.82,-89.52,1604782294,84.99,66,75,11.41,MX
481,Tierra Colorada,17.17,-99.58,1604782295,87.8,70,5,4.7,MX
482,Novovoronezh,51.31,39.22,1604782295,41.0,80,0,8.95,RU
483,Jiménez,28.33,-105.4,1604782295,78.8,15,5,12.75,MX
484,Yeppoon,-23.13,150.73,1604782295,75.2,64,90,11.41,AU
485,Jizan,17.33,42.67,1604782295,82.4,65,0,4.7,SA
486,Miranda,3.25,-76.23,1604782295,87.8,45,40,10.29,CO
487,Foumban,5.73,10.9,1604782295,66.13,82,32,3.15,CM
488,Lagoa,39.05,-27.98,1604782295,61.09,73,0,19.8,PT
489,Mindelo,16.89,-24.98,1604782296,78.8,74,75,19.46,CV
490,Bukachacha,52.98,116.92,1604782186,10.44,74,5,2.57,RU
491,Broome,42.25,-75.83,1604781950,66.2,42,1,8.05,US
492,Piteå,65.32,21.48,1604782296,37.4,64,0,13.87,SE
493,Bodden Town,19.28,-81.25,1604782159,82.0,88,100,8.01,KY
494,Oltu,40.55,42.0,1604782193,42.04,68,97,4.25,TR
495,Iturama,-19.73,-50.2,1604782296,90.1,30,2,3.42,BR
496,Esna,25.29,32.55,1604782297,69.8,56,0,2.24,EG
497,La Rioja,42.25,-2.5,1604781958,55.4,93,75,1.12,ES
498,Greenfield,42.96,-88.01,1604782297,72.0,30,1,18.34,US
499,Pergamino,-33.89,-60.57,1604782297,84.0,43,35,1.99,AR
500,Srednekolymsk,67.45,153.68,1604782297,-4.92,91,96,8.1,RU
501,Tadine,-21.55,167.88,1604782298,76.6,75,4,10.2,NC
502,Galveston,29.37,-94.97,1604781701,80.01,69,1,11.41,US
503,Ambositra,-20.52,47.25,1604782298,62.78,92,56,1.48,MG
504,Baharly,38.44,57.43,1604782298,58.17,67,99,10.58,TM
505,Te Anau,-45.42,167.72,1604782298,45.05,69,79,7.29,NZ
506,College,64.86,-147.8,1604781717,26.6,73,90,4.7,US
507,Kisesa,-3.08,34.15,1604782298,73.11,63,58,5.14,TZ
508,Mezhdurechensk,53.69,88.06,1604782298,34.77,88,84,3.42,RU
509,Qorveh,35.17,47.8,1604782298,42.12,89,86,5.93,IR
510,Saint Anthony,45.02,-93.22,1604782299,73.99,52,1,16.11,US
511,Cam Ranh,11.92,109.16,1604782299,80.6,74,40,10.29,VN
512,Nelson Bay,-32.72,152.15,1604782079,64.99,55,44,8.05,AU
513,Grasse,43.67,6.92,1604782206,60.8,77,90,4.7,FR
514,Mulegé,26.88,-111.98,1604782299,87.35,28,0,1.61,MX
515,Ust-Nera,64.57,143.2,1604782299,-8.82,82,86,5.57,RU
516,Lake Shasta,40.68,-122.37,1604782300,57.99,50,75,6.93,US
517,Mogzon,51.74,111.96,1604782300,6.1,92,34,4.29,RU
518,Iisalmi,63.56,27.19,1604782300,42.8,60,0,17.22,FI
519,Talnakh,69.49,88.4,1604782202,19.4,79,75,13.42,RU
520,Havre-St-Pierre,50.23,-63.6,1604782159,33.8,50,1,10.29,CA
521,Proletarsk,46.7,41.72,1604782300,46.92,82,47,11.34,RU
522,Katastari,37.83,20.77,1604782300,60.8,81,0,18.3,GR
523,Bath,51.38,-2.36,1604782300,53.01,88,64,1.99,GB
524,Kodinsk,58.69,99.18,1604782301,31.87,98,100,3.69,RU
525,Darnah,32.77,22.64,1604782208,67.71,74,54,13.82,LY
526,Hof,50.32,11.92,1604782301,37.0,85,0,4.0,DE
527,Solone,48.21,34.87,1604782301,44.6,93,75,4.47,UA
528,Dukat,62.55,155.55,1604782189,-6.03,90,97,3.67,RU
529,São João da Ponte,-15.93,-44.01,1604782301,73.72,81,92,3.11,BR
530,Cairns,-16.92,145.77,1604782186,77.0,83,33,5.82,AU
531,Siderno,38.28,16.3,1604782162,57.2,76,20,4.7,IT
532,Babu,24.42,111.52,1604782301,59.85,70,0,5.39,CN
533,Damaturu,11.75,11.96,1604782302,75.9,21,0,8.55,NG
534,Najrān,17.49,44.13,1604782302,69.8,26,0,1.88,SA
535,Kandi,11.13,2.94,1604782302,77.11,24,0,4.94,BJ
536,Rome,43.21,-75.46,1604782173,69.8,46,1,10.29,US
537,Khani,41.96,42.96,1604782302,51.8,100,75,9.17,GE
538,Koslan,63.46,48.9,1604782302,33.42,95,100,9.31,RU
539,Rojhan,28.69,69.95,1604782303,66.51,26,0,3.44,PK
540,Brae,60.4,-1.35,1604782303,46.4,93,74,1.12,GB
541,Mocuba,-16.84,36.99,1604782303,79.43,56,77,5.19,MZ
542,San Quintín,30.48,-115.95,1604782303,65.82,52,0,17.4,MX
543,Yakeshi,49.28,120.73,1604782303,5.05,91,0,5.73,CN
544,Kemisē,10.72,39.87,1604782303,64.92,61,74,2.37,ET
545,Kjøpsvik,68.1,16.37,1604782303,39.99,89,75,9.17,NO
546,Manta,-0.95,-80.73,1604782303,80.6,65,40,8.05,EC
547,Port Lincoln,-34.73,135.87,1604782204,60.22,71,29,16.11,AU
548,Luwuk,-0.95,122.79,1604782304,77.65,73,95,5.06,ID
549,Trelew,-43.25,-65.31,1604782017,71.15,30,94,22.12,AR
550,Puerto Escondido,15.85,-97.07,1604782304,87.8,70,20,5.82,MX
551,Valley City,46.92,-98.0,1604782112,41.0,93,90,10.29,US
552,Boden,65.83,21.69,1604782304,37.4,64,0,13.87,SE
553,Maralal,1.1,36.7,1604782304,60.94,87,98,9.75,KE
554,Canutama,-6.53,-64.38,1604782196,92.79,46,58,2.84,BR
555,New Castle,41.0,-80.35,1604782088,73.4,35,1,3.91,US
